city,lat,temp,humidity,windspeed,cloudiness
Rikitea,-23.12,68.45,71,9.45,52
Mahebourg,-20.41,69.332,94,3.1,40
Hilo,19.71,73.58,88,9.54,90
Bredasdorp,-34.53,46.166,93,1.5,0
Carbonear,47.73,72.392,61,6.2,20
Atuona,-9.8,80.50999999999999,74,7.93,22
Ushuaia,-54.81,41.0,75,1.39,75
Saint-Pierre,48.95,59.882,67,2.1,0
Port Alfred,-33.59,60.007999999999996,78,0.89,0
Zhumadian,33.01,79.43,83,1.21,100
Vaini,15.34,76.55,89,3.38,100
Qaanaaq,77.48,48.29,53,0.57,100
Wellington,-41.29,44.870000000000005,70,11.3,58
Punta Arenas,-53.16,41.0,86,4.1,40
Nikolskoye,59.7,53.132,76,4.0,90
Hobart,-42.88,48.452,57,10.3,20
Newcastle,-32.93,49.586,100,3.1,90
Yellowknife,62.45,69.368,37,1.5,75
Saskylakh,71.97,45.95,79,2.84,0
Salinas,36.67,69.674,68,5.7,1
Omboue,-1.57,74.57,88,5.72,0
Kishtwar,33.31,55.67,98,0.9,99
Bluff,-23.58,55.49,84,4.51,44
Forrest City,35.01,89.042,52,1.5,60
Albany,42.65,78.368,69,1.5,75
Arraial do Cabo,-22.97,72.482,83,5.1,0
Teahupoo,-17.83,80.276,69,1.0,75
Tuatapere,-46.13,44.996,91,4.47,87
Cape Town,-33.93,52.754,93,3.1,20
Kuopio,62.89,53.6,66,4.6,90
Saint-Philippe,45.36,82.472,45,6.7,90
Karratha,-20.74,68.81,23,8.82,0
Lyudinovo,53.86,50.09,85,2.68,99
Dwarka,28.58,86.30600000000001,89,2.1,75
Sola,-3.17,70.97,56,1.6,98
Puerto Ayora,-0.74,73.094,69,8.7,20
Ushirombo,-3.47,71.87,45,1.7,94
Bani,16.02,86.81,86,0.53,39
Ellisras,-23.67,59.09,16,4.25,0
Stromness,42.87,79.754,47,3.6,20
Mitu,36.2,66.65,23,1.65,0
Necochea,-38.55,53.51,60,3.67,100
Bethanien,-26.5,42.53,62,0.82,0
Mar del Plata,-46.43,45.41,52,6.22,0
Petrov Val,50.14,51.17,83,6.54,0
High Level,58.52,68.0,49,2.1,75
Papar,5.73,78.224,83,2.1,75
Thompson,55.74,66.2,82,2.6,90
Hovd,63.83,64.328,55,3.6,0
New Norfolk,-42.78,48.434,57,10.3,20
Haines Junction,60.75,61.61,45,0.76,4
Mugur-Aksy,50.38,38.39,91,1.89,27
Lebu,8.96,57.2,93,0.39,75
Curuca,-2.52,80.15,76,1.45,100
Fortuna,40.6,74.21,53,7.2,20
Muisne,0.61,87.8,70,3.1,75
Kathu,-27.7,44.006,29,2.8,0
Srednekolymsk,67.46,45.41,73,2.1,100
San Policarpo,12.18,78.71,87,4.58,100
Baruun-Urt,46.68,58.37,78,1.2,0
Margate,-43.03,48.434,57,10.3,20
Longyearbyen,78.22,51.8,71,4.6,0
Lata,30.78,46.85,98,1.52,100
Pilikwe,-22.8,56.03,35,2.13,0
Busselton,-33.64,44.510000000000005,65,6.59,0
Goderich,43.74,71.834,82,1.34,0
Kaitangata,-46.28,42.89,86,4.27,100
Znamenskoye,57.13,48.29,85,0.58,25
Ilhabela,-23.78,70.43,75,1.77,0
Vila Velha,-3.71,82.45400000000001,65,7.2,20
Dikson,73.51,44.870000000000005,72,3.32,100
Hermanus,-34.42,48.218,96,4.28,0
Norman Wells,65.28,69.8,49,1.0,75
Grindavik,63.84,56.354,76,5.1,0
Cockburn Town,21.46,87.8,94,7.7,40
Sao Joao da Barra,-21.64,77.0,61,5.7,0
Marrakesh,31.63,84.2,30,6.2,20
Mecca,21.43,86.45,27,1.82,60
Overland,38.7,83.19200000000001,45,3.1,75
Vestmannaeyjar,63.44,54.95,76,11.54,40
Saldanha,41.42,71.50999999999999,34,1.3,1
Eureka,40.8,72.212,77,3.6,1
Jamestown,-33.21,38.75,90,1.57,22
Souillac,45.6,66.182,56,2.6,69
Mataura,-46.19,44.996,91,4.47,98
Esso,55.93,55.85,90,1.32,99
Yerbogachen,61.28,55.129999999999995,89,0.75,89
Alihe,50.57,55.85,97,1.4,50
Banda Aceh,5.56,83.57,74,9.93,100
Shingu,33.72,70.43,93,0.72,21
Semporna,4.48,75.2,94,0.73,75
Santa Eulalia,15.73,73.49000000000001,55,4.06,0
San Borja,-14.86,86.81,50,0.76,24
Leningradskiy,69.38,36.05,85,12.06,100
Klaksvik,62.23,53.6,87,4.1,75
Bytca,49.22,67.44200000000001,94,0.5,20
Gongzhuling,43.5,69.71,97,4.21,0
Nome,30.04,90.932,52,0.48,75
Sao Gabriel da Cachoeira,-0.13,80.6,88,3.1,40
Mahbubnagar,16.74,73.31,89,7.25,100
Iqaluit,63.75,41.0,86,5.1,40
Broome,52.47,64.58,77,6.7,75
Ust-Maya,60.42,53.51,62,0.85,0
Lasa,34.92,73.49000000000001,78,3.1,20
Flagstaff,35.2,74.066,63,4.1,75
Potsdam,52.4,61.358,93,1.5,0
Shaunavon,49.65,83.57,28,2.48,0
Faanui,-16.48,78.71,78,9.47,34
Ilulissat,69.22,66.2,32,6.2,40
Yulara,-25.24,50.0,61,2.6,0
Padang,-0.92,80.33,79,5.16,90
Cayenne,4.94,82.4,74,2.6,24
Santa Vitoria do Palmar,-33.52,59.09,85,3.46,1
Amlagora,22.83,79.07,82,2.47,100
Saint George,39.45,77.846,61,2.1,20
Mounana,-1.38,77.27,59,1.29,68
Isabela,10.2,81.05,83,7.5,95
Tasiilaq,65.61,57.2,62,1.34,20
Lorengau,-2.02,77.27,90,3.74,100
Vanimo,-2.67,79.97,79,2.28,100
Bakchar,57.02,63.41,83,2.15,100
Nelson Bay,-32.72,51.008,100,3.1,90
Dingle,11.0,74.57,90,2.15,100
Codrington,-28.95,52.952,87,1.2,90
Prado,3.75,101.57,19,6.49,0
Kruisfontein,-34.0,48.29,85,2.14,0
Maragogi,-9.01,70.79,87,2.04,90
Butaritari,3.07,76.73,91,2.84,100
Tiksi,71.64,35.15,93,2.87,100
San Quintin,17.54,73.85,85,1.14,99
Araouane,18.9,100.85,25,3.27,75
Santa Cruz de Tenerife,28.47,68.612,82,9.3,75
Sokolovyy,51.57,53.6,76,6.0,0
Najran,17.54,87.8,31,1.5,0
Puerto Escondido,15.86,89.6,55,3.91,5
Sunndalsora,62.68,62.636,72,5.1,75
Basco,40.33,79.718,51,2.1,1
San Patricio,-26.98,72.05,85,2.26,0
Zholymbet,51.74,65.93,79,3.13,100
Vila,45.18,76.676,65,2.1,0
Linxia,35.6,50.99,72,2.64,0
Khudumelapye,-23.91,55.49,18,3.93,0
Coquimbo,-29.95,57.2,82,8.7,0
Tuktoyaktuk,69.44,59.0,72,5.1,90
Kodiak,39.95,76.658,73,6.2,1
Mezhdurechensk,53.69,55.129999999999995,81,1.29,0
Aklavik,68.22,68.756,52,2.6,75
Flinders,-34.58,46.652,93,4.6,0
Atbasar,51.81,65.03,88,2.32,73
Vardo,39.62,78.08,69,2.6,75
Ust-Kuyga,70.0,45.59,73,2.07,0
Whitianga,-36.83,42.007999999999996,98,2.54,12
Kyren,51.68,46.129999999999995,79,0.8,58
Kapaa,22.08,83.084,70,8.2,75
Saint Albans,44.81,74.39,78,2.6,1
Severo-Kurilsk,50.68,49.01,96,2.59,100
Zhezkazgan,47.8,78.35,37,2.69,73
Paamiut,61.99,41.629999999999995,82,7.95,100
Carnarvon,-30.97,43.07,54,3.08,0
Kilosa,-6.84,57.47,86,2.06,10
Murray Bridge,-35.12,48.56,80,1.13,58
Beloha,-25.17,70.43,45,1.32,0
Abidjan,5.32,77.0,94,2.1,20
Salalah,17.01,78.8,88,2.1,90
Isangel,-19.55,70.61,68,7.72,0
Tshikapa,-6.42,75.29,18,1.05,100
Castro,-42.48,44.6,87,4.6,90
Lavrentiya,65.58,46.31,67,5.89,66
Avarua,-21.21,78.8,78,4.6,74
Provideniya,64.42,53.6,66,5.0,40
Sur,22.57,91.31,46,7.38,92
East London,-33.02,55.4,82,4.1,20
Pisco,-13.71,66.27199999999999,30,4.6,0
Kamenka,48.03,66.002,74,2.51,27
Amboasary,-25.04,68.0,88,6.2,0
Svetlogorsk,53.14,60.8,100,3.0,90
Mitsamiouli,-11.38,75.2,83,3.6,20
The Valley,18.22,85.316,70,7.7,20
Gamba,28.28,43.79,73,2.3,100
Klyuchi,52.25,73.85,49,6.45,0
Talcahuano,-36.72,55.4,66,5.7,20
Baykit,61.68,56.93,90,1.06,100
Ciudad Bolivar,8.12,84.83000000000001,72,0.92,53
Hamilton,43.26,79.934,47,3.6,20
Amalapuram,16.58,76.55,92,5.56,100
Phan Thiet,10.93,72.59,96,2.79,100
Tagusao,9.19,81.41,80,5.86,67
Bambous Virieux,-20.34,69.35,94,3.1,40
Georgetown,6.8,82.274,79,5.1,40
Gat,14.69,82.4,61,4.6,0
Moose Factory,51.26,73.4,35,5.1,1
Pasni,25.26,81.59,79,2.28,76
Barrow,-38.31,52.97,46,3.64,100
Casper,42.87,91.83200000000001,15,1.3,1
Ambilobe,-13.19,74.75,71,5.11,89
Hithadhoo,-0.6,83.57,66,3.79,82
Seguela,7.96,72.05,95,2.5,20
Nynashamn,58.9,57.452,67,3.6,0
Waipawa,-39.94,37.994,89,4.08,38
Maltahohe,-24.83,42.53,51,1.37,0
Laguna,16.17,86.0,70,4.1,40
Westport,41.14,78.368,57,4.1,90
Puerto Colombia,10.99,89.942,56,5.1,20
Lagos,6.46,78.8,83,3.6,20
Colesberg,-30.72,38.75,46,1.05,0
Ribeira Grande,38.52,75.2,88,6.7,20
Kampot,10.62,81.266,88,1.5,40
Kawalu,-7.38,63.95,89,1.43,83
Unity,52.44,72.536,75,2.24,42
Komsomolskiy,67.55,55.67,98,2.46,100
Buckeye,33.37,91.47200000000001,49,3.6,1
Kirakira,-10.46,78.71,85,6.58,100
Semnan,35.58,93.2,13,2.1,0
Lagoa,37.14,73.4,53,4.6,0
Pevek,69.7,30.11,98,5.19,100
Cidreira,-30.17,59.99,82,4.45,0
Fatehpur,31.18,99.05,36,6.78,8
Rio Gallegos,-51.62,41.0,93,3.6,90
Alice Springs,-23.7,46.4,65,3.1,0
Antofagasta,-23.65,60.8,67,5.1,75
Katsuura,33.93,78.368,88,0.5,40
Luba,17.32,73.85,85,1.14,99
Bilibino,68.06,39.83,85,1.73,85
North Bend,43.41,73.202,72,5.1,1
Sao Filipe,14.9,74.39,85,9.17,2
Geraldton,49.72,73.4,35,4.1,20
Hasaki,35.73,77.018,100,1.0,40
Taoudenni,22.68,100.31,9,2.32,0
Erzin,36.95,80.852,78,1.5,40
Manicore,-5.81,93.2,44,2.1,20
Bethel,60.79,59.018,82,4.6,90
Agirish,61.92,46.67,89,2.48,0
Tiznit,29.7,67.73,89,5.35,15
Livingstone,-17.85,55.67,22,1.56,0
Olari,60.17,53.168,87,2.1,0
Kyabe,9.45,73.49000000000001,91,2.19,97
Namibe,-15.19,65.39,85,4.17,80
Chokurdakh,70.62,40.19,64,2.61,12
Lompoc,34.64,70.916,68,5.7,1
Wattegama,7.35,74.39,84,2.12,100
Muros,42.77,65.246,77,2.6,0
Bay Roberts,47.58,72.32,61,6.2,20
Gari,59.43,47.39,83,1.48,100
Tangping,33.69,59.45,90,0.89,0
Diego de Almagro,-26.39,59.809999999999995,60,2.85,0
Carauari,-4.88,87.89,54,0.49,55
Ballina,54.11,57.775999999999996,77,4.1,20
Los Llanos de Aridane,28.66,68.162,78,7.2,40
Brigham City,41.51,85.478,17,6.7,1
Saquarema,-22.93,72.80600000000001,83,5.1,0
Ondangwa,-17.91,71.6,11,1.5,0
Gijon,43.54,65.912,77,3.1,40
Grand Gaube,-20.01,69.422,94,3.1,40
Funadhoo,6.15,82.67,67,1.95,100
Jamui,24.93,81.77,80,2.37,100
Takanosu,40.22,72.77,98,4.77,95
Trairi,-3.28,78.35,69,3.6,74
Sorland,67.67,51.8,76,7.2,0
Sehithwa,-20.47,56.93,19,1.22,0
Chuy,-33.69,58.730000000000004,87,3.21,44
Yelabuga,55.76,53.6,93,4.0,90
San Felipe,-32.75,55.004,99,0.89,100
Khed Brahma,24.03,78.53,90,7.19,100
Palmer,-34.85,49.01,71,2.6,90
Astana,51.13,68.0,68,2.0,0
Bandarbeyla,9.49,75.11,76,10.49,81
Beneditinos,-5.46,93.2,32,2.6,0
Tanout,14.97,88.43,39,5.8,49
Minab,27.15,92.46200000000002,75,1.0,0
Apac,1.98,63.769999999999996,92,0.24,100
Nosy Varika,-20.58,67.19,91,1.31,8
Fairbanks,64.84,68.126,56,2.37,40
Alta Floresta,-9.87,95.0,24,1.5,0
Nanortalik,60.14,44.870000000000005,79,1.03,46
Merauke,-8.49,76.91,79,10.19,100
Sept-Iles,50.2,64.562,93,4.1,90
Santander,9.42,73.49000000000001,95,3.51,99
Adrar,27.87,105.8,13,5.1,0
Ivankiv,50.93,59.0,58,3.0,0
North Myrtle Beach,33.83,87.314,70,4.6,1
Ponta do Sol,-20.63,67.73,45,1.22,1
Kudahuvadhoo,2.67,83.03,67,3.25,27
Talnakh,69.49,53.6,76,6.0,0
Ayagoz,47.96,66.83,56,3.27,100
Liberal,37.04,102.25399999999999,22,9.3,1
La Ronge,55.1,73.4,53,1.5,40
Arrifes,37.77,73.4,94,7.7,40
Matina,10.08,80.50999999999999,71,2.52,9
Timbiqui,2.77,79.43,87,7.38,32
Copiapo,-27.37,64.4,55,4.1,0
Raudeberg,61.99,59.504,87,2.6,75
Chau Doc,10.71,77.81,83,2.74,100
Tecoanapa,16.99,89.6,62,6.2,5
Kaka,37.35,83.21000000000001,25,1.79,0
Weinan,34.5,75.2,78,4.0,0
Tual,-5.67,76.00999999999999,82,9.04,54
Mayor Pablo Lagerenza,-19.93,90.95,23,5.01,0
Kushiro,43.11,75.11,86,1.55,0
Mareeba,-16.99,60.025999999999996,82,5.1,0
Aykhal,65.95,50.0,81,2.0,90
Guerrero Negro,27.97,67.00999999999999,86,3.62,0
Xining,36.62,45.23,82,1.39,0
Bosaso,11.28,88.43,67,2.17,25
Juazeirinho,-7.07,78.17,61,7.24,100
Uusikaupunki,60.8,53.024,76,0.5,0
Havelock,34.88,85.838,52,3.6,1
Horsham,-36.71,43.79,82,2.12,100
Otradnoye,59.77,53.132,76,4.0,90
Ebebiyin,2.15,68.45,97,1.7,100
Pickerington,39.88,83.624,51,1.5,75
Cherskiy,68.75,44.510000000000005,69,2.66,0
Airai,-8.93,65.21,76,2.25,0
Rio Grande,-32.03,68.55799999999999,53,4.1,0
Oriximina,-1.77,90.95,48,2.72,29
Pacific Grove,36.62,69.422,56,5.7,1
Svetlaya,46.54,70.43,76,1.24,0
Maracaibo,3.41,91.4,41,3.6,40
Ranong,9.96,82.67,79,9.38,100
Narsaq,60.91,64.4,39,3.1,75
Talakan,50.29,62.51,99,1.62,79
Cabimas,10.39,89.33000000000001,60,2.68,0
Tomatlan,19.93,87.16999999999999,67,5.58,0
Slave Lake,55.28,68.0,64,4.6,40
Yahotyn,50.28,57.2,71,4.0,0
Cantagalo,-21.98,64.13,85,2.47,6
Pimentel,-3.7,79.43,67,1.07,1
Areia Branca,-10.76,78.8,69,3.1,20
Mikkeli,61.69,50.629999999999995,76,0.5,90
Bindki,26.04,84.83000000000001,67,2.05,85
Capinopolis,-18.68,81.41,28,2.99,0
Mount Isa,-20.73,57.2,30,5.1,73
Inhambane,-23.87,69.8,83,3.1,0
Turukhansk,65.8,59.09,97,4.81,100
Vaitape,-16.52,78.71,78,9.47,34
Fuyu,47.79,62.15,93,3.66,0
Manokwari,-0.87,70.97,93,2.36,100
Amapa,15.09,91.4,59,6.7,40
Khatanga,71.98,50.09,63,4.95,0
Maxixe,-23.86,69.8,83,3.1,0
Bahraich,27.58,83.21000000000001,77,3.61,99
Poum,41.28,68.0,72,1.5,20
Victoria,5.28,79.844,88,0.5,75
Port Elizabeth,39.31,85.046,46,3.6,1
Manzhouli,49.6,60.35,78,2.37,67
San Angelo,31.46,99.752,27,5.7,20
Boysun,38.2,64.85,31,1.9,0
Kandalaksha,67.15,45.59,86,3.67,17
Ewa Beach,21.32,83.31800000000001,55,5.1,20
Arman,59.7,55.49,84,0.87,44
Hobyo,5.35,76.55,79,9.4,87
Chunskiy,56.08,58.37,97,2.28,30
Savannakhet,16.57,73.67,95,3.92,100
Kavieng,-2.57,81.95,72,0.21,43
Kahului,20.89,80.492,62,8.2,20
Snasa,64.25,64.4,52,6.2,0
Galle,10.08,69.89,99,0.72,100
Manggar,-2.88,74.21,84,1.86,0
Buraydah,26.33,98.6,22,2.6,0
Katihar,25.54,80.33,89,3.36,100
Leh,34.16,51.17,51,1.33,52
Weihai,37.5,82.004,30,0.45,98
Nantucket,41.28,80.888,78,4.6,20
Muzhi,65.4,54.95,87,4.25,100
Naze,5.43,74.75,93,2.61,100
Sidi Ali,36.1,75.65,88,10.49,98
Hofn,64.25,60.8,51,6.7,20
Bogotol,56.21,57.11,79,2.8,0
Altay,47.83,54.77,66,2.62,0
Oktyabrskoye,56.73,67.44200000000001,72,3.0,0
Sumbe,-11.2,69.53,77,3.25,100
Lang Son,21.83,73.13,95,1.6,86
Murakami,38.29,78.35,80,3.58,100
Berlevag,70.86,45.428,87,6.7,75
Forestville,48.74,68.0,72,5.1,75
Nishihara,35.74,80.168,83,2.1,1
Ust-Nera,64.57,35.87,78,1.99,85
Havoysund,71.0,47.3,93,6.2,75
Saint Anthony,43.97,85.964,25,3.1,1
Bathsheba,13.22,84.2,74,6.2,75
Bonthe,7.53,75.29,89,4.81,99
Nsanje,-16.92,70.43,62,3.98,0
Moree,-29.46,50.0,61,3.6,75
Akhtubinsk,48.29,61.790000000000006,59,3.7,0
Upernavik,72.79,47.57,72,2.19,18
Ampanihy,-24.69,68.99000000000001,55,1.07,0
Wonosobo,-7.36,67.37,89,0.74,65
Barranca,-10.75,60.53,81,4.02,30
Bud,62.91,61.016000000000005,93,1.5,75
Deniliquin,-35.53,37.994,93,0.45,0
Hirara,24.8,83.39,80,5.67,0
Zhangjiakou,40.77,58.37,60,0.82,0
Perelyub,51.87,50.27,90,6.11,79
San Cristobal,14.68,84.47,45,2.52,85
Touros,-5.2,78.8,78,3.1,40
Zeya,53.74,56.03,92,2.82,100
Mumford,5.26,73.67,88,2.8,49
Funtua,11.52,73.31,89,2.11,66
Tourlaville,49.64,61.61,87,4.1,40
Puerto Carreno,6.19,81.95,78,3.61,100
Khani,41.96,75.2,88,1.5,75
Yebaishou,41.4,68.81,53,0.89,31
Nioro,13.79,82.31,72,8.0,100
Abadan,30.36,92.156,26,2.1,0
Harper,30.3,96.16999999999999,26,4.1,40
Sao Felix do Xingu,-6.64,86.63000000000001,35,1.4,22
Sinjar,35.59,72.23,39,4.02,0
Izhma,65.01,51.89,98,2.77,100
Litovko,49.24,63.769999999999996,99,2.56,41
Were Ilu,10.6,60.89,86,0.27,63
Deputatskiy,69.3,42.89,75,1.55,71
Okhotsk,59.36,55.85,89,1.11,45
Banjar,-7.37,66.11,96,1.08,44
Lujan,-46.57,45.41,52,6.22,0
Mandera,3.94,81.77,47,2.09,58
Karpogory,64.0,48.11,95,4.31,100
Torbay,47.66,72.266,61,6.2,20
Durusu,37.53,80.564,60,3.6,0
Lyuban,52.8,57.11,74,2.45,100
Avera,33.19,88.43,41,3.1,1
Hingorja,27.21,91.4,70,3.1,40
Saint-Joseph,43.56,74.39,83,1.5,0
Vanderhoof,54.02,72.41,35,1.01,66
Hami,42.84,82.13,25,5.94,84
Port Macquarie,-31.43,50.756,100,1.5,64
Orbetello,42.44,72.752,83,1.0,0
Krasnorechenskiy,44.63,66.47,75,1.06,0
Sembakung,3.82,72.41,98,0.74,25
Grand-Lahou,5.24,71.87,92,1.9,27
Saint-Augustin,45.63,82.58,47,4.1,75
Grand-Santi,4.27,82.49000000000001,75,1.42,34
Sena Madureira,-9.07,91.85,31,1.11,0
Sri Aman,1.24,73.4,94,0.62,1
Eyl,7.98,74.93,76,8.68,55
Yantal,56.85,58.37,96,1.49,100
Pangnirtung,66.15,53.6,71,6.2,20
Dubbo,-32.25,42.8,87,5.7,0
Ypsonas,34.69,78.044,83,6.2,0
Huarmey,-10.07,61.07,82,5.14,12
Vryburg,-26.96,48.29,21,3.79,0
Beyneu,45.32,84.47,37,3.66,0
Alofi,-19.06,78.8,94,2.6,40
Pak Phanang,8.35,77.09,86,2.39,100
Tambacounda,13.77,87.8,79,4.1,0
Kaseda,31.42,78.008,88,1.79,7
Mossendjo,-2.95,73.31,72,1.62,0
Beloye,54.58,45.23,92,6.14,3
Maromitsa,59.87,41.989999999999995,95,1.36,0
Zabol,31.03,89.6,31,6.2,0
Longyan,25.1,69.17,97,1.13,100
Esperance,-33.86,46.4,93,6.7,0
Lhokseumawe,5.18,69.53,90,1.6,100
Avanigadda,16.02,77.99000000000001,88,4.22,100
Pitkyaranta,61.57,53.870000000000005,76,7.36,100
Moron,18.56,83.39,77,4.11,67
Koosa,58.53,53.186,87,1.0,75
Kwinana,-32.25,47.876,81,3.6,0
Urusha,54.05,55.129999999999995,93,1.29,98
Pleasant Point,44.45,77.486,50,2.1,20
Berdigestyakh,62.1,52.25,50,2.52,100
Pochutla,15.74,91.526,46,5.1,40
Lodwar,3.12,85.91,43,1.65,100
Moerai,-22.43,70.97,81,8.03,0
Kutum,14.2,80.15,55,7.46,37
Katobu,-4.94,71.33,87,2.0,45
Giyon,8.53,57.11,93,1.27,100
Ca Mau,9.18,77.45,85,3.21,100
Chapais,49.78,62.6,63,5.7,90
Ostrovnoy,68.05,41.45,94,8.06,100
Atar,20.52,94.91,12,3.35,14
Passo de Camaragibe,-9.24,77.0,61,4.6,0
Lithgow,-33.48,40.586,100,2.1,0
Bongor,10.28,79.97,77,2.86,100
Ahipara,-35.17,48.992,100,13.9,82
Carbondale,38.82,85.65799999999999,51,6.7,1
Angoche,-16.23,70.43,92,1.52,0
Wagar,31.44,92.966,44,2.31,16
Yamada,36.58,78.746,74,1.5,75
Itapuranga,-15.56,78.17,33,1.45,33
Torres,-29.34,58.37,93,2.13,0
Dutse,11.76,83.21000000000001,57,3.53,44
Pizarro,4.95,80.33,85,6.17,4
Rio Branco,-9.98,93.2,36,1.5,0
Pangobilian,8.8,81.41,80,5.86,67
Acton Vale,45.65,77.936,45,6.7,90
Tommot,58.97,51.71,80,0.18,0
Kysyl-Syr,63.9,53.870000000000005,62,2.35,100
Chipinge,-20.19,63.230000000000004,48,3.51,0
Great Yarmouth,52.61,64.688,77,6.7,75
Acapulco,16.86,89.6,62,6.2,5
Port Hedland,-20.31,62.6,30,4.1,0
Chacaltianguis,18.3,87.008,78,1.79,59
Road Town,18.42,76.85600000000001,78,6.7,100
Axim,4.87,75.29,88,4.93,25
Soure,40.06,63.896,88,5.1,20
Teya,21.05,80.042,88,5.1,75
Riyadh,24.63,96.8,19,1.0,0
Fort Saint James,54.43,69.35,35,0.56,38
Argir,62.0,51.8,93,3.1,75
Dunn,35.31,90.96799999999999,41,2.45,1
Miquelon,47.1,64.148,93,5.1,90
Calabozo,8.92,80.50999999999999,89,1.23,100
Waris Aliganj,25.02,81.77,77,2.15,100
Ancud,-41.87,44.6,87,4.6,90
Gariaband,20.63,72.59,93,3.96,100
Rawson,-43.3,52.43,38,4.81,0
Newport,51.59,61.321999999999996,82,4.1,3
Udachnyy,66.42,50.0,81,2.0,90
Shieli,44.18,87.89,23,5.34,1
Vao,59.1,50.27,81,1.13,36
Tiarei,-17.53,80.276,69,1.0,75
Shitanjing,39.23,71.006,30,0.45,0
Te Anau,-45.41,39.83,84,1.03,54
Teguldet,57.31,57.29,85,2.05,0
Cartagena,37.63,78.94399999999999,69,9.3,20
Jackson,43.48,78.494,44,3.88,1
North Platte,41.12,85.64,55,4.6,1
Chuka,-0.33,63.95,82,0.17,100
Vallenar,-28.58,56.75,77,3.48,9
Kieta,-6.22,81.41,75,4.53,100
Jalu,29.03,79.79,60,7.6,0
Port Keats,-14.25,65.93,47,4.56,0
Northam,-31.65,42.8,87,2.48,0
Dauphin,51.15,78.8,69,2.1,90
Ornskoldsvik,63.29,49.388,81,0.5,2
Zhigansk,66.77,53.33,55,1.07,84
Denpasar,-8.65,77.0,88,4.1,40
Mackay,53.65,68.0,68,2.6,75
Bosansko Grahovo,44.18,78.008,71,0.42,0
Baikunthpur,23.26,71.87,97,2.26,100
Tarko-Sale,64.92,51.008,94,7.09,74
Aktau,43.65,73.4,83,1.0,0
Carutapera,-1.2,78.17,86,3.74,28
Puli,23.97,81.212,88,1.5,40
Magadan,59.56,51.35,97,1.04,100
Clarence Town,-32.59,50.306,100,3.1,90
Prince Rupert,54.32,58.01,71,1.19,86
Manakara,-22.14,68.45,88,1.81,67
Piotrkow Trybunalski,51.41,69.512,56,2.1,20
Bijar,35.87,67.00999999999999,22,2.68,0
Poronaysk,49.22,55.31,97,2.42,100
Santa Ines,-0.82,59.864,58,8.7,75
Bandrele,-12.91,77.0,94,1.0,75
Caravelas,-17.73,74.21,81,4.09,0
Paragould,36.06,86.648,58,1.77,1
Sabzevar,36.21,73.49000000000001,23,2.62,0
Moba,-7.04,62.87,50,1.54,99
Saint-Francois,46.42,59.828,55,0.5,0
Ebeltoft,56.2,61.088,93,3.1,89
Terrasini,38.15,75.83,73,5.1,0
Inverness,57.48,61.501999999999995,100,1.0,75
Lethem,3.38,86.45,63,1.82,82
Tricase,39.93,78.476,88,1.0,5
Belmonte,40.36,73.994,37,1.52,22
